ORIGIN,AIRLINE,ARR_DELAY
ABE,Allegiant Air ,11.841870824053451
ABE,Atlantic Southeast Airlines,7.90929203539823
ABE,Comair,2.085173501577287
ABE,Delta Air Lines,3.8753462603878117
ABE,Endeavor Air,9.68945868945869
ABE,SkyWest Airlines,11.620132953466287
ABI,American Eagle Airlines,6.5353535353535355
ABQ,Alaska Airlines,5.121951219512195
ABQ,Allegiant Air ,15.524663677130045
ABQ,American Airlines,4.686860417519443
ABQ,American Eagle Airlines,-1.921875
ABQ,Atlantic Southeast Airlines,3.5592105263157894
ABQ,Delta Air Lines,-6.65693950177936
ABQ,Frontier Airlines,14.943566591422123
ABQ,JetBlue Airways,4.257328990228013
ABQ,Mesa Airlines,2.423352680095596
ABQ,Republic Airways,-0.2766990291262136
ABQ,SkyWest Airlines,4.6757553426676495
ABQ,Southwest Airlines,4.300464138716174
ABQ,United Airlines,3.093447905477981
ABR,SkyWest Airlines,4.835597826086956
ABY,Endeavor Air,14.819444444444445
ABY,SkyWest Airlines,15.363265306122448
ACK,Endeavor Air,42.9010989010989
ACK,JetBlue Airways,19.830409356725145
ACK,Republic Airways,0.7692307692307693
ACT,American Eagle Airlines,3.131853785900783
ACV,SkyWest Airlines,11.868347338935575
ACY,Spirit Airlines,3.5342592592592594
ADK,Alaska Airlines,-1.683168316831683
ADQ,Alaska Airlines,-3.2022653721682848
AEX,American Eagle Airlines,5.332684824902723
AEX,Atlantic Southeast Airlines,0.8234126984126984
AEX,Endeavor Air,2.1616161616161618
AEX,SkyWest Airlines,9.166872682323856
AGS,American Eagle Airlines,33.25
AGS,Atlantic Southeast Airlines,0.2684563758389262
AGS,Comair,7.445017182130584
AGS,Delta Air Lines,0.8331143232588699
AGS,Endeavor Air,8.8231884057971
AGS,Mesa Airlines,-19.0
AGS,Republic Airways,20.9375
AGS,SkyWest Airlines,19.675938803894297
AKN,Alaska Airlines,1.4285714285714286
ALB,Allegiant Air ,23.22222222222222
ALB,American Airlines,-3.822562979189485
ALB,American Eagle Airlines,8.61437908496732
ALB,Atlantic Southeast Airlines,24.026785714285715
ALB,Comair,7.013574660633484
ALB,Delta Air Lines,-7.440087145969499
ALB,Endeavor Air,-3.8227848101265822
ALB,Frontier Airlines,37.51948051948052
ALB,JetBlue Airways,14.977808599167822
ALB,Mesa Airlines,8.088235294117647
ALB,Republic Airways,-0.6233595800524935
ALB,SkyWest Airlines,5.277966101694915
ALB,Southwest Airlines,0.3099483810417644
ALB,United Airlines,8.205307262569832
ALO,American Eagle Airlines,7.137825421133231
AMA,American Airlines,-13.5
AMA,American Eagle Airlines,0.812327506899724
AMA,Atlantic Southeast Airlines,5.213459516298633
AMA,Mesa Airlines,5.5634654130288785
AMA,SkyWest Airlines,-3.6470588235294117
AMA,Southwest Airlines,3.26
ANC,Alaska Airlines,-6.0476222642529045
ANC,American Airlines,33.32520325203252
ANC,Delta Air Lines,-4.619141588554514
ANC,JetBlue Airways,-3.056872037914692
ANC,United Airlines,4.568544102019128
APN,SkyWest Airlines,8.418333333333333
