iata,name,city,state,country,latitude,longitude,num_of_connections,CANCELLED,num_of_flights,perc_cancelled
ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167,11,87,4168,2.1
ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722,1,41,2022,2.0
ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,26,238,24047,1.0
ABR,Aberdeen Regional,Aberdeen,SD,USA,45.44905556,-98.42183333,1,8,745,1.1
ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515000000004,-84.19447333,1,11,1018,1.1
ACK,Nantucket Memorial,Nantucket,MA,USA,41.25305194,-70.06018139,5,35,972,3.6
ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917,1,59,1593,3.7
ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189,2,49,1478,3.3
ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667,8,40,3288,1.2
ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306,1,3,104,2.9
ADQ,Kodiak,Kodiak,AK,USA,57.74996778,-152.4938553,1,18,636,2.8
AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611,3,48,3403,1.4
AGS,Bush,Augusta,GA,USA,33.369955,-81.96449611,7,89,4544,2.0
AKN,King Salmon,King Salmon,AK,USA,58.67680167,-156.6492175,1,0,63,0.0
ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861,20,263,12360,2.1
ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361,1,22,677,3.2
AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272,6,104,5366,1.9
ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,28,129,18411,0.7
APN,Alpena County Regional,Alpena,MI,USA,45.0780675,-83.56028583,3,14,622,2.3
ART,Watertown Intl,Watertown,NY,USA,43.99192222,-76.02173861,1,1,25,4.0
ASE,Aspen-Pitkin Co/Sardy,Aspen,CO,USA,39.22316,-106.868845,10,447,6854,6.5
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,166,2544,390046,0.7
ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556,9,57,4188,1.4
AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,65,612,63262,1.0
AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556,14,182,7694,2.4
AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.72426750000002,8,103,3356,3.1
AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.55205749999998,3,81,2805,2.9
BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,29,652,28316,2.3
BET,Bethel,Bethel,AK,USA,60.77977639,-161.8379975,1,27,837,3.2
BFF,Scotts Bluff County,Scottsbluff,NE,USA,41.87402778,-103.5956389,1,3,573,0.5
BFL,Meadows,Bakersfield,CA,USA,35.43359806,-119.0567681,3,23,2324,1.0
BGM,Binghamton Regional,Binghamton,NY,USA,42.20848278,-75.97961361,1,11,920,1.2
BGR,Bangor International,Bangor,ME,USA,44.80744444,-68.82813889,9,177,4090,4.3
BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972,20,324,18297,1.8
BIL,Billings Logan Intl,Billings,MT,USA,45.8076625,-108.5428611,11,23,4152,0.6
BIS,Bismarck Municipal,Bismarck,ND,USA,46.77411111,-100.7467222,9,56,3667,1.5
BJI,Bemidji-Beltrami County,Bemidji,MN,USA,47.50942417,-94.93372333,1,3,740,0.4
BLI,Bellingham Intl,Bellingham,WA,USA,48.79275,-122.5375278,11,17,2225,0.8
BLV,Scott AFB/MidAmerica,Belleville/St. Louis,IL,USA,38.54517861,-89.83518444,9,8,1019,0.8
BMI,Central Illinois Regional,Bloomington,IL,USA,40.47798556,-88.91595278,8,91,3173,2.9
BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,57,1081,74263,1.5
BOI,Boise Air Terminal,Boise,ID,USA,43.56444444,-116.2227778,20,83,19191,0.4
BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,65,3844,148191,2.6
BPT,Southeast Texas Regional,Beaumont/Port Arthur,TX,USA,29.95083333,-94.02069444,1,33,851,3.9
BQK,Glynco Jetport,Brunswick,GA,USA,31.25902778,-81.46630556,1,10,1038,1.0
BQN,Rafael Hernandez,Aguadilla,PR,USA,18.49486111,-67.12944444,4,18,1960,0.9
BRD,Brainerd-Crow Wing County Regional,Brainerd,MN,USA,46.39785806,-94.1372275,1,11,637,1.7
BRO,Brownsville/S.Padre Island International,Brownsville,TX,USA,25.90683333,-97.42586111,3,81,2607,3.1
BRW,Wiley Post Will Rogers Memorial,Barrow,AK,USA,71.2854475,-156.76600190000005,2,13,727,1.8
BTM,Bert Mooney,Butte,MT,USA,45.95479528,-112.49746,1,1,677,0.1
BTR,"Baton Rouge Metropolitan, Ryan",Baton Rouge,LA,USA,30.53316083,-91.14963444,5,125,7576,1.6
BTV,Burlington International,Burlington,VT,USA,44.47300361,-73.1503125,10,384,9727,3.9
BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667,27,671,26248,2.6
BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,15,455,26583,1.7
BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,70,2320,106739,2.2
BZN,Gallatin,Bozeman,MT,USA,45.77690139,-111.1530072,16,29,5841,0.5
CAE,Columbia Metropolitan,Columbia,SC,USA,33.93884,-81.11953944,9,164,6817,2.4
CAK,Akron-Canton Regional,Akron,OH,USA,40.91631194,-81.44246556,13,208,7510,2.8
CDC,Cedar City Muni,Cedar City,UT,USA,37.70097028,-113.098575,1,1,622,0.2
CDV,Merle K (Mudhole) Smith,Cordova,AK,USA,60.49183389,-145.4776503,2,6,722,0.8
CGI,Cape Girardeau Municipal,Cape Girardeau,MO,USA,37.22531694,-89.57075167,2,22,625,3.5
CHA,Lovell,Chattanooga,TN,USA,35.03526833,-85.20378778,10,141,8511,1.7
CHO,Charlottesville-Albermarle,Charlottesville,VA,USA,38.13863889,-78.45286111,4,202,5574,3.6
CHS,Charleston AFB/International,Charleston,SC,USA,32.89864639,-80.04050583,30,899,23941,3.8
CID,Eastern Iowa,Cedar Rapids,IA,USA,41.88458833,-91.71087222,15,182,9232,2.0
CIU,Chippewa County International,Sault Ste. Marie,MI,USA,46.25075194,-84.47238528,2,15,673,2.2
CKB,Benedum,Clarksburg,WV,USA,39.29663889,-80.22808333,4,19,807,2.4
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,49,987,48385,2.0
CLL,Easterwood,College Station,TX,USA,30.58858944,-96.36382417,2,53,2312,2.3
CLT,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,136,6039,233317,2.6
CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,36,945,45805,2.1
CMI,University of Illinois-Willard,Champaign/Urbana,IL,USA,40.03925,-88.27805556,3,92,2368,3.9
CMX,Houghton County Memorial,Hancock,MI,USA,47.16841722,-88.48906083,1,35,725,4.8
CNY,Canyonlands,Moab,UT,USA,38.75495611,-109.7548439,1,3,420,0.7
COD,Yellowstone Regional,Cody,WY,USA,44.52019417,-109.02379609999998,2,10,822,1.2
COS,City of Colorado Springs Muni,Colorado Springs,CO,USA,38.80580556,-104.70025,17,144,10338,1.4
COU,Columbia Regional,Columbia,MO,USA,38.81809306,-92.21962917,3,57,2225,2.6
CPR,Natrona County Intl,Casper,WY,USA,42.90835556,-106.46446609999998,4,3,985,0.3
CRP,Corpus Christi International,Corpus Christi,TX,USA,27.77036083,-97.50121528,4,150,5562,2.7
CRW,Yeager,Charleston,WV,USA,38.37315083,-81.59318972,7,135,4632,2.9
CSG,Columbus Metropolitan,Columbus,GA,USA,32.51633333,-84.93886111,1,14,1277,1.1
CVG,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,54,960,49594,1.9
CWA,Central Wisconsin,Mosinee,WI,USA,44.77761917,-89.66677944,3,75,2853,2.6
CYS,Cheyenne,Cheyenne,WY,USA,41.1557225,-104.8118381,1,1,58,1.7
DAB,Daytona Beach International,Daytona Beach,FL,USA,29.17991667,-81.05805556,3,54,3548,1.5
DAL,Dallas Love,Dallas,TX,USA,32.84711389,-96.85177222,59,1009,70995,1.4
DAY,James M Cox Dayton Intl,Dayton,OH,USA,39.90237583,-84.219375,17,413,14076,2.9
DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722,1,52,1009,5.2
DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,90,3862,132517,2.9
DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,162,1595,235989,0.7
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,170,5365,279298,1.9
DHN,Dothan,Dothan,AL,USA,31.32133917,-85.44962889,1,8,1374,0.6
DLG,Dillingham,Dillingham,AK,USA,59.0454125,-158.5033389,1,3,84,3.6
DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861,2,53,2798,1.9
DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692,4,68,3125,2.2
