level_0,0
ABE,"{'FLL': {'FLIGHT_VOLUME': 73.0, 'ARR_DELAY': 38.6986301369863}, 'DTW': {'FLIGHT_VOLUME': 924.0, 'ARR_DELAY': 11.458874458874458}, 'ORD': {'FLIGHT_VOLUME': 365.0, 'ARR_DELAY': 10.106849315068493}, 'PHL': {'FLIGHT_VOLUME': 42.0, 'ARR_DELAY': 3.5238095238095237}, 'ATL': {'FLIGHT_VOLUME': 969.0, 'ARR_DELAY': 6.536635706914344}, 'MYR': {'FLIGHT_VOLUME': 87.0, 'ARR_DELAY': 6.264367816091954}, 'MDT': {'FLIGHT_VOLUME': 1.0, 'ARR_DELAY': 0.0}, 'CLT': {'FLIGHT_VOLUME': 955.0, 'ARR_DELAY': 1.9214659685863875}, 'SFB': {'FLIGHT_VOLUME': 444.0, 'ARR_DELAY': 8.425675675675675}, 'PIE': {'FLIGHT_VOLUME': 162.0, 'ARR_DELAY': 8.87037037037037}, 'PGD': {'FLIGHT_VOLUME': 146.0, 'ARR_DELAY': 14.287671232876713}}"
ABI,"{'DFW': {'FLIGHT_VOLUME': 2022.0, 'ARR_DELAY': 6.399604352126607}}"
ABQ,"{'SAT': {'FLIGHT_VOLUME': 19.0, 'ARR_DELAY': 31.94736842105263}, 'SFO': {'FLIGHT_VOLUME': 1003.0, 'ARR_DELAY': 4.033898305084746}, 'IAH': {'FLIGHT_VOLUME': 1312.0, 'ARR_DELAY': 0.9634146341463414}, 'LAS': {'FLIGHT_VOLUME': 1473.0, 'ARR_DELAY': 4.107942973523421}, 'PHX': {'FLIGHT_VOLUME': 3657.0, 'ARR_DELAY': 7.004101722723544}, 'DEN': {'FLIGHT_VOLUME': 2769.0, 'ARR_DELAY': 4.708197905381004}, 'SAN': {'FLIGHT_VOLUME': 705.0, 'ARR_DELAY': 2.6070921985815603}, 'MCO': {'FLIGHT_VOLUME': 123.0, 'ARR_DELAY': 4.024390243902439}, 'SEA': {'FLIGHT_VOLUME': 248.0, 'ARR_DELAY': 5.080645161290323}, 'MCI': {'FLIGHT_VOLUME': 373.0, 'ARR_DELAY': 3.260053619302949}, 'ORD': {'FLIGHT_VOLUME': 1019.0, 'ARR_DELAY': 1.608439646712463}, 'DFW': {'FLIGHT_VOLUME': 2755.0, 'ARR_DELAY': 4.427586206896552}, 'LAX': {'FLIGHT_VOLUME': 1295.0, 'ARR_DELAY': 5.806177606177606}, 'SJC': {'FLIGHT_VOLUME': 48.0, 'ARR_DELAY': -0.16666666666666666}, 'SNA': {'FLIGHT_VOLUME': 34.0, 'ARR_DELAY': -0.3235294117647059}, 'PDX': {'FLIGHT_VOLUME': 101.0, 'ARR_DELAY': -4.752475247524752}, 'MSP': {'FLIGHT_VOLUME': 205.0, 'ARR_DELAY': -14.165853658536586}, 'AUS': {'FLIGHT_VOLUME': 387.0, 'ARR_DELAY': 12.563307493540051}, 'BWI': {'FLIGHT_VOLUME': 555.0, 'ARR_DELAY': 2.7711711711711713}, 'ATL': {'FLIGHT_VOLUME': 851.0, 'ARR_DELAY': -3.782608695652174}, 'SLC': {'FLIGHT_VOLUME': 505.0, 'ARR_DELAY': -6.251485148514852}, 'MDW': {'FLIGHT_VOLUME': 697.0, 'ARR_DELAY': 1.2955523672883789}, 'OAK': {'FLIGHT_VOLUME': 870.0, 'ARR_DELAY': 1.7758620689655173}, 'JFK': {'FLIGHT_VOLUME': 314.0, 'ARR_DELAY': 4.162420382165605}, 'HOU': {'FLIGHT_VOLUME': 1041.0, 'ARR_DELAY': 2.2689721421709894}, 'DAL': {'FLIGHT_VOLUME': 1688.0, 'ARR_DELAY': 4.253554502369668}}"
ABR,"{'MSP': {'FLIGHT_VOLUME': 745.0, 'ARR_DELAY': 4.777181208053691}}"
ABY,"{'ATL': {'FLIGHT_VOLUME': 1018.0, 'ARR_DELAY': 14.731827111984282}}"
ACK,"{'BOS': {'FLIGHT_VOLUME': 172.0, 'ARR_DELAY': 13.970930232558139}, 'LGA': {'FLIGHT_VOLUME': 129.0, 'ARR_DELAY': 30.93798449612403}, 'DCA': {'FLIGHT_VOLUME': 173.0, 'ARR_DELAY': 3.699421965317919}, 'CLT': {'FLIGHT_VOLUME': 11.0, 'ARR_DELAY': -8.454545454545455}, 'JFK': {'FLIGHT_VOLUME': 487.0, 'ARR_DELAY': 21.862422997946613}}"
ACT,"{'DFW': {'FLIGHT_VOLUME': 1593.0, 'ARR_DELAY': 3.0119271814187067}}"
ACV,"{'SFO': {'FLIGHT_VOLUME': 1270.0, 'ARR_DELAY': 11.05511811023622}, 'LAX': {'FLIGHT_VOLUME': 208.0, 'ARR_DELAY': 13.98076923076923}}"
ACY,"{'MCO': {'FLIGHT_VOLUME': 729.0, 'ARR_DELAY': 7.7187928669410155}, 'FLL': {'FLIGHT_VOLUME': 860.0, 'ARR_DELAY': 1.1325581395348838}, 'RSW': {'FLIGHT_VOLUME': 512.0, 'ARR_DELAY': 8.95703125}, 'MSY': {'FLIGHT_VOLUME': 111.0, 'ARR_DELAY': 20.27927927927928}, 'TPA': {'FLIGHT_VOLUME': 365.0, 'ARR_DELAY': -8.202739726027398}, 'ATL': {'FLIGHT_VOLUME': 192.0, 'ARR_DELAY': 9.447916666666666}, 'PBI': {'FLIGHT_VOLUME': 154.0, 'ARR_DELAY': -2.7532467532467533}, 'MYR': {'FLIGHT_VOLUME': 365.0, 'ARR_DELAY': -1.0493150684931507}}"
ADK,"{'ANC': {'FLIGHT_VOLUME': 104.0, 'ARR_DELAY': -1.6346153846153846}}"
ADQ,"{'ANC': {'FLIGHT_VOLUME': 636.0, 'ARR_DELAY': -3.111635220125786}}"
AEX,"{'IAH': {'FLIGHT_VOLUME': 1020.0, 'ARR_DELAY': 0.8137254901960784}, 'DFW': {'FLIGHT_VOLUME': 1060.0, 'ARR_DELAY': 5.1716981132075475}, 'ATL': {'FLIGHT_VOLUME': 1323.0, 'ARR_DELAY': 6.414210128495843}}"
AGS,"{'ORD': {'FLIGHT_VOLUME': 7.0, 'ARR_DELAY': 53.142857142857146}, 'DFW': {'FLIGHT_VOLUME': 9.0, 'ARR_DELAY': 17.77777777777778}, 'LGA': {'FLIGHT_VOLUME': 16.0, 'ARR_DELAY': 18.1875}, 'DCA': {'FLIGHT_VOLUME': 15.0, 'ARR_DELAY': -2.4}, 'PHL': {'FLIGHT_VOLUME': 7.0, 'ARR_DELAY': 49.857142857142854}, 'ATL': {'FLIGHT_VOLUME': 2673.0, 'ARR_DELAY': 8.839880284324728}, 'CLT': {'FLIGHT_VOLUME': 1817.0, 'ARR_DELAY': 7.173913043478261}}"
AKN,"{'ANC': {'FLIGHT_VOLUME': 63.0, 'ARR_DELAY': 1.4285714285714286}}"
