,origin,destination,flight_volume,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,arr_delay,VOLUME_RANK
0,DTW,EWR,3713.0,160.0,5071.0,2864.0,40226.0,4.0,8924.0,8.93639178159302,336.0
1,DTW,RDU,1302.0,5.0,2517.0,54.0,2315.0,0.0,2205.0,-4.05242868157286,1838.0
2,DTW,IAD,1801.0,36.0,4040.0,726.0,3612.0,0.0,6902.0,4.009065155807366,1248.0
3,DTW,BOS,3672.0,50.0,7333.0,704.0,16380.0,0.0,8233.0,0.07095527332965212,348.0
4,DTW,SAT,836.0,2.0,2842.0,76.0,1257.0,0.0,1015.0,-6.158273381294964,2734.0
5,DTW,SFO,1745.0,2.0,3143.0,529.0,9371.0,0.0,3531.0,-1.5157773952954676,1300.0
6,DTW,IAH,3319.0,32.0,8953.0,1165.0,11831.0,26.0,9092.0,-0.37207179799209006,436.0
7,DTW,LAS,3219.0,6.0,4345.0,453.0,5919.0,0.0,3004.0,-8.29847494553377,462.0
8,DTW,PHX,2546.0,12.0,3807.0,92.0,5377.0,36.0,2146.0,-6.636937647987372,745.0
9,DTW,CLE,1247.0,3.0,3282.0,246.0,1646.0,0.0,2083.0,-2.8263665594855305,1921.0
10,DTW,DEN,3091.0,11.0,4757.0,742.0,5462.0,17.0,4381.0,-6.249350649350649,521.0
11,DTW,SAN,990.0,0.0,1545.0,50.0,886.0,0.0,822.0,-10.318181818181818,2403.0
12,DTW,MCO,3563.0,24.0,7924.0,651.0,13427.0,0.0,5368.0,-0.9480079118395027,373.0
13,DTW,FLL,2669.0,8.0,4471.0,790.0,5837.0,58.0,1425.0,-4.846674182638106,695.0
14,DTW,PIT,1558.0,7.0,4326.0,379.0,1471.0,53.0,2934.0,-3.7259832366215346,1521.0
15,DTW,RSW,1926.0,8.0,3251.0,432.0,4880.0,0.0,1436.0,-6.662148070907195,1148.0
16,DTW,SEA,2361.0,1.0,3622.0,473.0,7002.0,34.0,2413.0,-4.647457627118644,863.0
17,DTW,BNA,2502.0,10.0,4668.0,391.0,3524.0,0.0,6123.0,-2.21669341894061,768.0
18,DTW,MCI,1618.0,5.0,2952.0,497.0,2028.0,0.0,1685.0,-8.108493490390577,1444.0
19,DTW,ORD,6484.0,124.0,13255.0,1683.0,23484.0,72.0,21454.0,1.670754716981132,87.0
20,DTW,MSY,1406.0,6.0,2846.0,606.0,2640.0,25.0,1554.0,-6.692142857142857,1669.0
21,DTW,MSN,1313.0,3.0,3510.0,228.0,1421.0,0.0,3000.0,-3.2763358778625955,1826.0
22,DTW,DFW,3863.0,45.0,8429.0,810.0,12904.0,5.0,10526.0,-2.8983761131482453,306.0
23,DTW,LAX,2581.0,2.0,5527.0,227.0,7143.0,7.0,1949.0,-3.482745250096937,731.0
24,DTW,JAX,374.0,1.0,1114.0,6.0,607.0,0.0,1276.0,-2.5978552278820377,3856.0
25,DTW,SJC,37.0,0.0,0.0,0.0,20.0,0.0,0.0,-20.89189189189189,5744.0
26,DTW,SNA,277.0,0.0,631.0,0.0,589.0,0.0,113.0,-6.6606498194945845,4338.0
27,DTW,PDX,657.0,0.0,587.0,56.0,1361.0,26.0,180.0,-10.662100456621005,3232.0
28,DTW,GRR,1668.0,5.0,4919.0,393.0,1597.0,0.0,3731.0,-0.7672880336740829,1386.0
29,DTW,MIA,1683.0,8.0,3095.0,203.0,4486.0,0.0,2884.0,-4.1050746268656715,1365.0
30,DTW,MSP,3064.0,15.0,3529.0,618.0,4381.0,0.0,2265.0,-7.192194162020335,534.0
31,DTW,CVG,1161.0,9.0,2936.0,396.0,1499.0,0.0,2932.0,-3.486111111111111,2031.0
32,DTW,AUS,1057.0,6.0,3220.0,85.0,1714.0,0.0,2319.0,-5.77069457659372,2184.0
33,DTW,LGA,5026.0,196.0,6746.0,1010.0,31246.0,8.0,10931.0,0.20041407867494823,174.0
34,DTW,IND,1863.0,9.0,6012.0,396.0,2306.0,0.0,4215.0,-1.168284789644013,1193.0
35,DTW,TPA,2192.0,4.0,4266.0,324.0,5802.0,6.0,2222.0,-4.381170018281535,963.0
36,DTW,BWI,3009.0,31.0,6975.0,616.0,6157.0,1.0,5831.0,-1.3361316319677636,557.0
37,DTW,DCA,3171.0,40.0,5868.0,440.0,9365.0,11.0,6587.0,-2.0108591504311724,484.0
38,DTW,CHS,39.0,0.0,160.0,0.0,43.0,0.0,51.0,-8.384615384615385,5722.0
39,DTW,PHL,2966.0,55.0,4778.0,593.0,14163.0,37.0,5649.0,-2.1188594984541393,574.0
40,DTW,ROC,1017.0,11.0,3651.0,224.0,910.0,0.0,2540.0,-2.2773359840954273,2297.0
41,DTW,ORF,727.0,13.0,1943.0,180.0,1125.0,0.0,2171.0,-0.896358543417367,2953.0
42,DTW,ATL,5621.0,26.0,9405.0,762.0,12923.0,10.0,7064.0,-1.9958891867739053,125.0
43,DTW,PBI,366.0,1.0,491.0,65.0,667.0,0.0,441.0,-7.186301369863013,3892.0
44,DTW,BDL,1300.0,7.0,3248.0,122.0,1757.0,0.0,2353.0,-4.724671307037896,1845.0
45,DTW,SRQ,32.0,0.0,27.0,14.0,46.0,0.0,0.0,-15.03125,5808.0
46,DTW,DSM,968.0,8.0,3075.0,139.0,1289.0,0.0,2446.0,-4.047916666666667,2468.0
47,DTW,MYR,487.0,6.0,969.0,27.0,757.0,0.0,672.0,-2.575883575883576,3574.0
48,DTW,SLC,1463.0,1.0,2029.0,374.0,1648.0,0.0,1378.0,-7.216142270861833,1601.0
49,DTW,CMH,1681.0,11.0,4798.0,1096.0,2039.0,0.0,5202.0,-1.3053892215568863,1371.0
50,DTW,MDT,1052.0,13.0,3345.0,636.0,2018.0,0.0,2460.0,1.4542829643888353,2193.0
51,DTW,SAV,268.0,2.0,574.0,69.0,400.0,0.0,744.0,-4.041353383458647,4362.0
52,DTW,OKC,501.0,2.0,1843.0,365.0,1122.0,38.0,1646.0,4.094188376753507,3541.0
53,DTW,ALB,860.0,7.0,2729.0,199.0,1106.0,0.0,2330.0,-0.3528722157092614,2673.0
54,DTW,STL,1124.0,8.0,1889.0,31.0,1047.0,0.0,4214.0,-1.7625448028673836,2081.0
55,DTW,OMA,421.0,2.0,676.0,232.0,383.0,0.0,1193.0,-1.8615751789976134,3709.0
56,DTW,BUF,1050.0,8.0,2569.0,398.0,1113.0,0.0,2342.0,-2.378119001919386,2202.0
57,DTW,RIC,767.0,7.0,3078.0,71.0,1267.0,0.0,2548.0,1.3289473684210527,2883.0
58,DTW,PWM,669.0,8.0,2320.0,302.0,1094.0,0.0,2055.0,2.7821482602118004,3184.0
59,DTW,BTV,945.0,14.0,2545.0,123.0,1450.0,8.0,1871.0,-1.9946294307196564,2522.0
60,DTW,CLT,3710.0,49.0,6190.0,361.0,6271.0,0.0,7759.0,-3.1627970499863425,338.0
61,DTW,CID,1099.0,6.0,3778.0,555.0,1657.0,47.0,3376.0,-0.03110704483074108,2106.0
62,DTW,TYS,1421.0,9.0,5262.0,295.0,1680.0,0.0,1683.0,-3.584985835694051,1646.0
63,DTW,PVD,906.0,5.0,2094.0,192.0,1346.0,0.0,2349.0,-2.188679245283019,2595.0
64,DTW,TTN,122.0,4.0,278.0,0.0,256.0,0.0,1571.0,8.161016949152541,4943.0
65,DTW,MEM,646.0,5.0,1961.0,120.0,746.0,0.0,1218.0,-2.9110764430577225,3266.0
66,DTW,ISP,36.0,1.0,131.0,0.0,201.0,0.0,344.0,12.914285714285715,5756.0
67,DTW,MKE,1971.0,15.0,5056.0,1147.0,2351.0,1.0,5981.0,-0.45756646216768915,1117.0
68,DTW,BHM,244.0,0.0,875.0,23.0,364.0,0.0,601.0,-1.360655737704918,4428.0
69,DTW,TUL,221.0,1.0,1338.0,237.0,517.0,0.0,976.0,6.640909090909091,4508.0
70,DTW,LIT,226.0,1.0,487.0,142.0,271.0,0.0,1445.0,2.96,4493.0
71,DTW,GSO,816.0,8.0,2549.0,503.0,1477.0,0.0,2576.0,1.311881188118812,2793.0
72,DTW,CHA,518.0,0.0,1415.0,157.0,631.0,0.0,473.0,-3.7258687258687258,3504.0
73,DTW,FWA,916.0,3.0,2471.0,627.0,1078.0,100.0,2454.0,-0.8937568455640745,2580.0
74,DTW,AVP,850.0,7.0,2875.0,468.0,1229.0,0.0,1629.0,-0.7876631079478055,2698.0
75,DTW,SBN,1504.0,10.0,4448.0,704.0,2026.0,0.0,4203.0,-0.29116465863453816,1562.0
76,DTW,ABE,903.0,10.0,2540.0,791.0,2054.0,0.0,2326.0,-0.25755879059350506,2603.0
77,DTW,SDF,1066.0,1.0,2938.0,455.0,1867.0,0.0,1631.0,-0.3305164319248826,2171.0
78,DTW,GSP,822.0,3.0,2327.0,130.0,626.0,0.0,1628.0,-5.301587301587301,2766.0
79,DTW,DAY,1051.0,5.0,2255.0,490.0,1011.0,0.0,3227.0,-1.7103250478011471,2199.0
80,DTW,CWA,635.0,3.0,2383.0,340.0,575.0,0.0,1196.0,-1.9050632911392404,3287.0
81,DTW,LEX,1257.0,7.0,3516.0,530.0,1550.0,0.0,2322.0,-2.0624,1903.0
82,DTW,PIA,592.0,4.0,1422.0,204.0,970.0,0.0,1724.0,0.11054421768707483,3380.0
83,DTW,CAK,840.0,3.0,2772.0,803.0,1188.0,0.0,3062.0,2.876941457586619,2725.0
84,DTW,MHT,572.0,6.0,1894.0,228.0,662.0,0.0,678.0,-1.5971731448763251,3409.0
85,DTW,HSV,310.0,0.0,524.0,74.0,204.0,0.0,908.0,-5.054838709677419,4231.0
86,DTW,SYR,1156.0,9.0,3858.0,470.0,1310.0,0.0,2042.0,-1.8299912816041848,2039.0
87,DTW,LAN,1420.0,12.0,4184.0,770.0,1444.0,0.0,3454.0,-0.4637784090909091,1648.0
88,DTW,MLI,648.0,5.0,1383.0,368.0,635.0,0.0,2187.0,-2.998444790046656,3260.0
89,DTW,ATW,853.0,7.0,2737.0,745.0,1022.0,0.0,2465.0,-0.38416075650118203,2692.0
