label,period,value
Alaska Airlines,1,-6.991338270298863
Alaska Airlines,2,-4.212753747937738
Alaska Airlines,3,-4.373280943025541
Alaska Airlines,4,-0.5385462049988535
Alaska Airlines,5,1.7049108319423703
Alaska Airlines,6,-0.0948137199495718
Alaska Airlines,7,0.03742005149929396
Alaska Airlines,8,6.629404200600086
Alaska Airlines,9,-2.9839025555290184
Alaska Airlines,10,0.9920078519349411
Alaska Airlines,11,0.7843282843282843
Alaska Airlines,12,-2.1073229873908828
Allegiant Air ,1,5.949331352154532
Allegiant Air ,2,7.55187196341812
Allegiant Air ,3,8.005207203297896
Allegiant Air ,4,8.469854212997282
Allegiant Air ,5,12.872340425531915
Allegiant Air ,6,18.99674779689467
Allegiant Air ,7,20.33975879794385
Allegiant Air ,8,9.382005899705014
Allegiant Air ,9,3.051409324587839
Allegiant Air ,10,4.158883450191825
Allegiant Air ,11,7.5450355543850405
Allegiant Air ,12,5.690137130801688
American Airlines,1,0.4291248923820368
American Airlines,2,2.00969403660872
American Airlines,3,-0.21383032194915477
American Airlines,4,0.5152168313744628
American Airlines,5,5.95007231176141
American Airlines,6,9.798884138074877
American Airlines,7,13.01183236214662
American Airlines,8,11.225473999898337
American Airlines,9,5.843162881882045
American Airlines,10,6.403908210828254
American Airlines,11,4.923865557584365
American Airlines,12,3.895507773202237
American Eagle Airlines,1,7.0223807979241
American Eagle Airlines,2,9.120202751629254
American Eagle Airlines,3,-0.10866052321264795
American Eagle Airlines,4,2.3731324169725947
American Eagle Airlines,5,5.450324595283097
American Eagle Airlines,6,11.048510189169441
American Eagle Airlines,7,7.389144434222631
American Eagle Airlines,8,7.44357821884571
American Eagle Airlines,9,3.151113157013726
American Eagle Airlines,10,2.8165414122436196
American Eagle Airlines,11,4.246884472886494
American Eagle Airlines,12,4.742594893582909
Atlantic Southeast Airlines,1,7.962379656760151
Atlantic Southeast Airlines,2,9.949914334665905
Atlantic Southeast Airlines,3,4.044578674121405
Atlantic Southeast Airlines,4,4.038904899135447
Atlantic Southeast Airlines,5,2.1815856777493607
Atlantic Southeast Airlines,6,8.92657793044225
Atlantic Southeast Airlines,7,9.385627846048282
Atlantic Southeast Airlines,8,12.02219422950033
Atlantic Southeast Airlines,9,9.905319571258437
Atlantic Southeast Airlines,10,10.948642699926632
Atlantic Southeast Airlines,11,15.747992766726943
Atlantic Southeast Airlines,12,14.277987897125568
Comair,1,10.646327848162711
Comair,2,12.49425171946383
Comair,3,5.604286817129104
Comair,4,6.413445083154153
Comair,5,10.877486009470513
Comair,6,18.800804039809776
Comair,7,11.297595868957927
Comair,8,11.185461127246706
Comair,9,3.669947324646521
Comair,10,0.6575301590008099
Comair,11,5.3533306491298704
Comair,12,3.104274670304684
Delta Air Lines,1,-1.1657183908045976
Delta Air Lines,2,-3.456405990016639
Delta Air Lines,3,-2.043187302535015
Delta Air Lines,4,-0.6543819252738305
Delta Air Lines,5,1.4856624230382418
Delta Air Lines,6,5.707931436259024
Delta Air Lines,7,3.226279490990154
Delta Air Lines,8,3.036583694907513
Delta Air Lines,9,-3.0063857944981947
Delta Air Lines,10,-3.546894447834045
Delta Air Lines,11,1.2445564224347758
Delta Air Lines,12,-6.123091105855946
Endeavor Air,1,3.2021673476638837
Endeavor Air,2,5.028379432411352
Endeavor Air,3,3.413167149358709
Endeavor Air,4,6.884534429187131
Endeavor Air,5,1.901123046875
Endeavor Air,6,4.250140528386734
Endeavor Air,7,7.5044425899563105
Endeavor Air,8,10.613544695619549
Endeavor Air,9,2.7390992100133373
Endeavor Air,10,1.0744031893943033
Endeavor Air,11,5.876705196292825
Endeavor Air,12,0.6784931039524343
Frontier Airlines,1,8.746292205743137
Frontier Airlines,2,10.480032599837001
Frontier Airlines,3,4.607815391313813
Frontier Airlines,4,9.930936613055819
Frontier Airlines,5,14.515535889872172
Frontier Airlines,6,25.450247499747448
Frontier Airlines,7,22.52224824355972
Frontier Airlines,8,22.172182254196642
Frontier Airlines,9,16.848212502496505
Frontier Airlines,10,13.964922480620155
Frontier Airlines,11,11.714081923782352
Frontier Airlines,12,7.2294398698790285
Hawaiian Airlines,1,1.2248296744890235
Hawaiian Airlines,2,6.154039557492458
Hawaiian Airlines,3,3.0564185228604925
Hawaiian Airlines,4,2.449204224304626
Hawaiian Airlines,5,0.46953557733276524
Hawaiian Airlines,6,0.30587264475312886
Hawaiian Airlines,7,-0.8795719317258196
Hawaiian Airlines,8,0.770356572645024
Hawaiian Airlines,9,-0.9493006993006993
Hawaiian Airlines,10,-0.5952080706179067
Hawaiian Airlines,11,-1.4303667981879293
Hawaiian Airlines,12,0.6351520199916701
JetBlue Airways,1,14.964166309472782
JetBlue Airways,2,6.049464763603925
JetBlue Airways,3,13.0571925144497
JetBlue Airways,4,15.58566144644684
JetBlue Airways,5,11.066183797041466
JetBlue Airways,6,7.533482142857143
JetBlue Airways,7,16.43781305386453
JetBlue Airways,8,18.43768632157652
JetBlue Airways,9,4.628307207431368
JetBlue Airways,10,4.33779737821654
JetBlue Airways,11,13.521421536441235
JetBlue Airways,12,10.614769035734094
Mesa Airlines,1,4.436864075136969
Mesa Airlines,2,9.286824992931864
Mesa Airlines,3,0.22509909218769977
Mesa Airlines,4,1.2932499696491442
Mesa Airlines,5,3.5351038201216016
Mesa Airlines,6,7.760103942057832
Mesa Airlines,7,12.529100529100528
Mesa Airlines,8,12.462498715709442
Mesa Airlines,9,14.81863633866271
Mesa Airlines,10,14.74070909867578
Mesa Airlines,11,10.531619141805395
Mesa Airlines,12,11.230072363696625
Republic Airways,1,2.4037491593813045
Republic Airways,2,1.312714172744047
Republic Airways,3,-0.8903353216185717
Republic Airways,4,1.9913735638944439
Republic Airways,5,1.674988720108287
Republic Airways,6,5.958908162887894
Republic Airways,7,6.279111347814509
Republic Airways,8,7.579901832215519
Republic Airways,9,2.7732057799303527
Republic Airways,10,1.8039923311153716
Republic Airways,11,4.5533918081596525
Republic Airways,12,0.7870618882222924
SkyWest Airlines,1,10.496428630615998
SkyWest Airlines,2,8.786993819758324
SkyWest Airlines,3,4.06014919017805
SkyWest Airlines,4,3.1863489499192243
SkyWest Airlines,5,7.637407787842002
SkyWest Airlines,6,9.811772914107173
SkyWest Airlines,7,7.436058975368596
SkyWest Airlines,8,12.14613465614951
SkyWest Airlines,9,2.519839414410783
SkyWest Airlines,10,3.772550444272891
SkyWest Airlines,11,7.498300709127153
SkyWest Airlines,12,6.932336742722266
Southwest Airlines,1,0.28215430328060326
Southwest Airlines,2,4.10090445685097
Southwest Airlines,3,4.447842972236103
Southwest Airlines,4,6.404037537031452
Southwest Airlines,5,7.369663760464066
Southwest Airlines,6,6.620020813110511
Southwest Airlines,7,8.61509690581435
Southwest Airlines,8,6.145656952671864
Southwest Airlines,9,0.6273222596390329
Southwest Airlines,10,1.9278373155305693
Southwest Airlines,11,2.6137705154045494
Southwest Airlines,12,4.277660620141185
Spirit Airlines,1,-0.48720921805927964
Spirit Airlines,2,4.7255009392611145
Spirit Airlines,3,-0.4158884921724801
Spirit Airlines,4,5.409002635594396
Spirit Airlines,5,7.8121659110900605
Spirit Airlines,6,10.00705467372134
Spirit Airlines,7,13.93135774506103
Spirit Airlines,8,15.204126703685008
Spirit Airlines,9,1.5909388408115774
Spirit Airlines,10,-2.920582877959927
Spirit Airlines,11,3.591930755270138
Spirit Airlines,12,0.7119143239625167
United Airlines,1,-2.3793491723904965
United Airlines,2,-1.1950913131703547
United Airlines,3,-1.3069689924075636
United Airlines,4,1.8484903308808749
United Airlines,5,7.035045432807269
United Airlines,6,11.10930944136023
United Airlines,7,12.081804686671616
United Airlines,8,16.35380451022094
United Airlines,9,4.418059755424963
United Airlines,10,3.3977395825810643
United Airlines,11,8.235913082595005
United Airlines,12,4.710846189808322
Virgin America,1,-2.7536307961504813
Virgin America,2,-0.9058621348100058
Virgin America,3,8.082728592162555
