ORIGIN,DEST
ABE,"['ORD', 'ATL', 'SFB', 'PIE', 'PGD', 'FLL', 'MYR', 'CLT', 'DTW', 'PHL', 'MDT']"
ABI,['DFW']
ABQ,"['DEN', 'AUS', 'MCO', 'IAH', 'LAS', 'ORD', 'SFO', 'LAX', 'PHX', 'BWI', 'DAL', 'HOU', 'MCI', 'MDW', 'OAK', 'SAN', 'SJC', 'DFW', 'SEA', 'ATL', 'SLC', 'JFK', 'MSP', 'PDX', 'SNA', 'SAT']"
ABR,['MSP']
ABY,['ATL']
ACK,"['LGA', 'JFK', 'BOS', 'DCA', 'CLT']"
ACT,['DFW']
ACV,"['SFO', 'LAX']"
ACY,"['MSY', 'ATL', 'PBI', 'FLL', 'MCO', 'TPA', 'MYR', 'RSW']"
ADK,['ANC']
ADQ,['ANC']
AEX,"['IAH', 'DFW', 'ATL']"
AGS,"['ATL', 'DFW', 'ORD', 'CLT', 'DCA', 'LGA', 'PHL']"
AKN,['ANC']
ALB,"['ORD', 'EWR', 'DCA', 'CLT', 'DTW', 'MSP', 'BWI', 'DEN', 'FLL', 'MCO', 'MDW', 'RSW', 'TPA', 'PHL', 'ATL', 'IAD', 'PIE', 'PGD', 'SFB', 'LAS']"
ALO,['ORD']
AMA,"['IAH', 'DFW', 'DAL', 'LAS', 'PHX', 'DEN']"
ANC,"['ORD', 'DEN', 'FAI', 'SEA', 'HNL', 'BET', 'ADQ', 'SCC', 'JNU', 'CDV', 'PDX', 'LAX', 'OME', 'OTZ', 'PHX', 'ADK', 'KOA', 'MSP', 'SLC', 'ATL', 'SFO', 'IAH', 'DLG', 'EWR', 'DFW', 'AKN', 'OGG', 'LAS']"
APN,"['DTW', 'PLN', 'MBS']"
ART,['PHL']
ASE,"['DEN', 'ORD', 'LAX', 'IAH', 'SFO', 'DFW', 'SLC', 'PHX', 'ATL', 'MSP']"
